method,Output,nCell,FOSCTTM,Cell match,Cell type match,Cell type level 1 match,s2d1,s3d6
MIDAS,Embedding,10465,0.0729,0.0034,0.6413,0.8674,10,100
Multigrate,Embedding,10465,0.1696,6e-04,0.3267,0.5,10,100
scMoMaT,Embedding,10465,0.2585,0.0011,0.4774,0.7022,10,100
scVAEIT,Embedding,10465,0.4013,4e-04,0.1343,0.2352,10,100
StabMap,Embedding,10465,0.1601,0.002,0.5484,0.8115,10,100
MIDAS,Embedding,10465,0.0567,0.0055,0.6911,0.8924,25,100
Multigrate,Embedding,10465,0.1474,0.0011,0.5524,0.8016,25,100
scMoMaT,Embedding,10465,0.2543,0.0016,0.4791,0.6528,25,100
scVAEIT,Embedding,10465,0.2471,5e-04,0.3669,0.521,25,100
StabMap,Embedding,10465,0.0997,0.0028,0.6432,0.8833,25,100
MIDAS,Embedding,10465,0.052,0.0087,0.7219,0.9093,50,100
Multigrate,Embedding,10465,0.1237,0.001,0.5006,0.7579,50,100
scMoMaT,Embedding,10465,0.2294,0.0013,0.4987,0.703,50,100
scVAEIT,Embedding,10465,0.2036,3e-04,0.2057,0.4793,50,100
StabMap,Embedding,10465,0.0779,0.0046,0.6803,0.9083,50,100
MIDAS,Embedding,10465,0.0473,0.0096,0.7292,0.9105,75,100
Multigrate,Embedding,10465,0.1228,0.001,0.487,0.7366,75,100
scMoMaT,Embedding,10465,0.2107,9e-04,0.4597,0.6743,75,100
scVAEIT,Embedding,10465,0.2522,5e-04,0.434,0.5753,75,100
StabMap,Embedding,10465,0.068,0.0058,0.6974,0.9276,75,100
MIDAS,Embedding,10465,0.0478,0.0091,0.7421,0.9258,100,100
Multigrate,Embedding,10465,0.1026,0.0011,0.5606,0.8282,100,100
MIDAS,Embedding,10465,0.0782,0.0039,0.6841,0.8869,100,10
Multigrate,Embedding,10465,0.1893,4e-04,0.3305,0.5327,100,10
scMoMaT,Embedding,10465,0.386,3e-04,0.1763,0.3091,100,10
scVAEIT,Embedding,10465,0.3226,4e-04,0.4448,0.5898,100,10
StabMap,Embedding,10465,0.1084,0.0027,0.6401,0.8848,100,10
MIDAS,Embedding,10465,0.0684,0.0063,0.6994,0.8978,100,25
Multigrate,Embedding,10465,0.1974,6e-04,0.2917,0.5177,100,25
scMoMaT,Embedding,10465,0.3999,2e-04,0.2809,0.3448,100,25
scVAEIT,Embedding,10465,0.2162,5e-04,0.3535,0.6273,100,25
StabMap,Embedding,10465,0.0906,0.0037,0.643,0.8972,100,25
MIDAS,Embedding,10465,0.0577,0.0073,0.7326,0.9163,100,50
Multigrate,Embedding,10465,0.2123,9e-04,0.3155,0.5539,100,50
scMoMaT,Embedding,10465,0.2911,7e-04,0.4482,0.6196,100,50
scVAEIT,Embedding,10465,0.1835,6e-04,0.3068,0.5038,100,50
StabMap,Embedding,10465,0.0742,0.005,0.6815,0.9243,100,50
MIDAS,Embedding,10465,0.051,0.0086,0.7285,0.92,100,75
Multigrate,Embedding,10465,0.2493,8e-04,0.4358,0.6331,100,75
scMoMaT,Embedding,10465,0.287,7e-04,0.4275,0.6379,100,75
scVAEIT,Embedding,10465,0.156,7e-04,0.4039,0.8068,100,75
StabMap,Embedding,10465,0.0673,0.0045,0.6964,0.9213,100,75
scMoMaT,Embedding,10465,0.2408,0.0018,0.4269,0.6145,100,100
scVAEIT,Embedding,10465,0.1469,8e-04,0.4769,0.733,100,100
StabMap,Embedding,10465,0.0623,0.0056,0.7179,0.9322,100,100
Seurat v5 bridge,Embedding,20930,0.1307,0.0016,0.5604,0.8013,10,100
Seurat v5 bridge,Embedding,20930,0.0846,0.0031,0.6124,0.8713,25,100
Seurat v5 bridge,Embedding,20930,0.0654,0.0036,0.6743,0.8948,50,100
Seurat v5 bridge,Embedding,20930,0.0591,0.0039,0.6916,0.9075,75,100
Seurat v5 bridge,Embedding,20930,0.054,0.005,0.7281,0.927,100,100
Seurat v5 bridge,Embedding,20930,0.0799,0.0022,0.6528,0.8724,100,10
Seurat v5 bridge,Embedding,20930,0.0608,0.0036,0.67,0.8988,100,25
Seurat v5 bridge,Embedding,20930,0.056,0.0035,0.6986,0.9035,100,50
Seurat v5 bridge,Embedding,20930,0.0536,0.0041,0.724,0.9185,100,75
