method,Output,nCell,ARI,ARI level 1,AMI,AMI level 1,graph cLISI,graph cLISI level 1,isolated labels ASW,isolated labels ASW level 1,paired_size,unpaired_size
cobolt,Embedding,10000,0.4955,0.4683,0.6864,0.668,0.9789,0.985,0.5509,0.5874,10000,5000
MIDAS,Embedding,10000,0.4887,0.4865,0.6643,0.6545,0.9681,0.9737,0.5318,0.5355,10000,5000
Multigrate,Embedding,10000,0.3367,0.3382,0.5885,0.5825,0.9733,0.9804,0.5197,0.5712,10000,5000
MultiVI,Embedding,10000,0.5309,0.479,0.6933,0.6691,0.9821,0.987,0.5661,0.5745,10000,5000
scMoMaT,Embedding,10000,0.2216,0.2737,0.4553,0.4781,0.9482,0.9374,0.4762,0.5049,10000,5000
StabMap,Embedding,10000,0.2824,0.3575,0.4136,0.4332,0.904,0.8627,0.4686,0.4816,10000,5000
cobolt,Embedding,10000,0.4918,0.4471,0.6847,0.6541,0.9795,0.9859,0.5516,0.5933,20000,5000
MIDAS,Embedding,10000,0.4705,0.4726,0.6552,0.6441,0.967,0.9712,0.5387,0.5342,20000,5000
Multigrate,Embedding,10000,0.3414,0.3443,0.5927,0.5812,0.9731,0.9808,0.5258,0.5782,20000,5000
MultiVI,Embedding,10000,0.5383,0.4688,0.7067,0.664,0.9819,0.9874,0.5675,0.5675,20000,5000
scMoMaT,Embedding,10000,0.2425,0.256,0.4822,0.4902,0.9489,0.9477,0.471,0.5045,20000,5000
StabMap,Embedding,10000,0.2832,0.3352,0.4476,0.4621,0.9266,0.8869,0.4598,0.4934,20000,5000
cobolt,Embedding,10000,0.5245,0.5728,0.6869,0.6938,0.973,0.9826,0.5422,0.5927,3000,5000
MIDAS,Embedding,10000,0.4172,0.4812,0.6192,0.6354,0.9644,0.9691,0.5296,0.5402,3000,5000
Multigrate,Embedding,10000,0.3212,0.3207,0.5615,0.5565,0.9643,0.9707,0.5113,0.5488,3000,5000
MultiVI,Embedding,10000,0.4564,0.4577,0.6736,0.6634,0.9742,0.9841,0.549,0.5862,3000,5000
scMoMaT,Embedding,10000,0.2678,0.3081,0.496,0.5164,0.9494,0.9522,0.4827,0.509,3000,5000
StabMap,Embedding,10000,0.2459,0.3176,0.3526,0.3733,0.8818,0.7975,0.4648,0.4864,3000,5000
cobolt,Embedding,10000,0.4461,0.4414,0.6592,0.654,0.9722,0.9793,0.5427,0.5875,5000,5000
MIDAS,Embedding,10000,0.3637,0.3858,0.6142,0.615,0.9643,0.9673,0.5315,0.5422,5000,5000
Multigrate,Embedding,10000,0.3404,0.347,0.5803,0.5827,0.9683,0.9746,0.5114,0.5572,5000,5000
MultiVI,Embedding,10000,0.489,0.5159,0.6821,0.6793,0.9792,0.9854,0.5588,0.5804,5000,5000
scMoMaT,Embedding,10000,0.2481,0.2813,0.4886,0.5032,0.9515,0.9457,0.4741,0.4983,5000,5000
StabMap,Embedding,10000,0.2675,0.3523,0.3826,0.4052,0.898,0.8392,0.4665,0.4893,5000,5000
Seurat v5 bridge,Embedding,10000,0.34,0.2893,0.617,0.5724,0.9823,0.9832,0.426,0.4369,10000,5000
Seurat v5 bridge,Embedding,10000,0.3927,0.3289,0.6347,0.5909,0.9826,0.983,0.4255,0.4365,20000,5000
Seurat v5 bridge,Embedding,10000,0.3448,0.3093,0.6062,0.5722,0.9808,0.9827,0.4258,0.4372,3000,5000
Seurat v5 bridge,Embedding,10000,0.3538,0.305,0.6075,0.5649,0.9811,0.9837,0.4251,0.4361,5000,5000
