method,Output,nCell,FOSCTTM,Cell match,Cell type match,Cell type level 1 match,s1d1,s3d10
cobolt,Embedding,6781,0.0826,0.0026,0.5492,0.6964,10,100
MIDAS,Embedding,6781,0.1226,0.0073,0.6996,0.8245,10,100
Multigrate,Embedding,6781,0.3645,4e-04,0.2095,0.3817,10,100
MultiVI,Embedding,6781,0.0959,0.0036,0.6804,0.8023,10,100
scMoMaT,Embedding,6781,0.4773,1e-04,0.1134,0.1809,10,100
cobolt,Embedding,6781,0.0698,0.0038,0.6421,0.7803,25,100
MIDAS,Embedding,6781,0.1197,0.0082,0.7121,0.8538,25,100
Multigrate,Embedding,6781,0.1435,0.0013,0.4403,0.6683,25,100
MultiVI,Embedding,6781,0.0609,0.0069,0.7773,0.8741,25,100
scMoMaT,Embedding,6781,0.4837,6e-04,0.1436,0.2048,25,100
cobolt,Embedding,6781,0.0551,0.0061,0.6962,0.8165,50,100
MIDAS,Embedding,6781,0.1011,0.0106,0.7702,0.8575,50,100
Multigrate,Embedding,6781,0.2318,0.0013,0.3118,0.4672,50,100
MultiVI,Embedding,6781,0.0496,0.0081,0.7747,0.877,50,100
scMoMaT,Embedding,6781,0.3451,0.001,0.2288,0.3761,50,100
cobolt,Embedding,6781,0.0521,0.0072,0.7265,0.8445,75,100
MIDAS,Embedding,6781,0.0939,0.0131,0.7838,0.8654,75,100
Multigrate,Embedding,6781,0.1268,0.0018,0.4909,0.7257,75,100
MultiVI,Embedding,6781,0.0436,0.0099,0.8185,0.8827,75,100
scMoMaT,Embedding,6781,0.2542,0.0017,0.4475,0.6292,75,100
cobolt,Embedding,6781,0.0505,0.0072,0.7351,0.8482,100,100
MIDAS,Embedding,6781,0.0949,0.0134,0.7977,0.875,100,100
Multigrate,Embedding,6781,0.1404,0.0018,0.4625,0.6355,100,100
MultiVI,Embedding,6781,0.0382,0.0108,0.8288,0.8942,100,100
cobolt,Embedding,6781,0.0821,0.0044,0.5851,0.7604,100,10
MIDAS,Embedding,6781,0.1386,0.0038,0.655,0.7794,100,10
Multigrate,Embedding,6781,0.1745,0.0012,0.448,0.6321,100,10
MultiVI,Embedding,6781,0.0846,0.0035,0.6816,0.8141,100,10
scMoMaT,Embedding,6781,0.2085,0.0044,0.5824,0.7572,100,10
cobolt,Embedding,6781,0.0706,0.0058,0.6445,0.7682,100,25
MIDAS,Embedding,6781,0.0998,0.0105,0.7585,0.8596,100,25
Multigrate,Embedding,6781,0.1836,0.0014,0.4823,0.6527,100,25
MultiVI,Embedding,6781,0.0569,0.0061,0.7711,0.87,100,25
scMoMaT,Embedding,6781,0.2033,0.0038,0.539,0.7315,100,25
cobolt,Embedding,6781,0.0586,0.0058,0.7052,0.8345,100,50
MIDAS,Embedding,6781,0.0892,0.013,0.7957,0.8755,100,50
Multigrate,Embedding,6781,0.134,0.0014,0.4179,0.6328,100,50
MultiVI,Embedding,6781,0.0479,0.0103,0.8157,0.8895,100,50
scMoMaT,Embedding,6781,0.1932,0.0042,0.5445,0.774,100,50
cobolt,Embedding,6781,0.0481,0.0091,0.7608,0.8595,100,75
MIDAS,Embedding,6781,0.0919,0.0125,0.794,0.8726,100,75
Multigrate,Embedding,6781,0.1386,0.0015,0.4241,0.5608,100,75
MultiVI,Embedding,6781,0.0401,0.0117,0.8194,0.8838,100,75
scMoMaT,Embedding,6781,0.1892,0.0042,0.5847,0.761,100,75
scMoMaT,Embedding,6781,0.2707,0.0032,0.4485,0.6483,100,100
Seurat v5 bridge,Embedding,13562,0.072,0.0045,0.75,0.8411,10,100
Seurat v5 bridge,Embedding,13562,0.0534,0.0087,0.8048,0.8669,25,100
Seurat v5 bridge,Embedding,13562,0.043,0.0118,0.8381,0.892,50,100
Seurat v5 bridge,Embedding,13562,0.0382,0.0112,0.8382,0.8912,75,100
Seurat v5 bridge,Embedding,13562,0.0372,0.0119,0.8424,0.8918,100,100
Seurat v5 bridge,Embedding,13562,0.1327,0.0038,0.6413,0.7523,100,10
Seurat v5 bridge,Embedding,13562,0.0681,0.006,0.7806,0.8533,100,25
Seurat v5 bridge,Embedding,13562,0.0465,0.0099,0.8162,0.871,100,50
Seurat v5 bridge,Embedding,13562,0.04,0.0106,0.8292,0.8812,100,75
StabMap,Embedding,13562,0.3533,7e-04,0.2559,0.3975,10,100
StabMap,Embedding,13562,0.3525,0.001,0.2407,0.419,25,100
StabMap,Embedding,13562,0.343,0.0012,0.2145,0.3788,50,100
StabMap,Embedding,13562,0.3322,0.0015,0.3033,0.4822,75,100
StabMap,Embedding,13562,0.4165,0.001,0.2743,0.4112,100,10
StabMap,Embedding,13562,0.319,7e-04,0.393,0.5493,100,25
StabMap,Embedding,13562,0.2994,0.0012,0.411,0.5451,100,50
StabMap,Embedding,13562,0.3201,0.0018,0.3865,0.5072,100,75
StabMap,Embedding,13562,0.3177,0.001,0.3249,0.4361,100,100
