algor,Output,nCell,ARI,ARI level 1,AMI,AMI level 1,graph cLISI,graph cLISI level 1
cobolt,Embedding,6781,0.593,0.524,0.767,0.721,0.987,0.999
DCCA,Embedding,6781,0.562,0.444,0.778,0.703,0.993,0.999
MOFA+,Embedding,6781,0.513,0.415,0.752,0.697,0.985,0.998
Multigrate,Embedding,6781,0.561,0.441,0.791,0.706,0.99,1
MultiVI,Embedding,6781,0.491,0.396,0.76,0.686,0.989,1
scAI,Embedding,6781,0.668,0.53,0.839,0.752,0.996,1
scDEC,Embedding,6781,0.324,0.398,0.527,0.52,0.901,0.887
scMDC,Embedding,6781,0.67,0.533,0.841,0.753,0.996,1
scMVAE,Embedding,6781,0.523,0.426,0.741,0.675,0.989,0.996
scMVP,Embedding,6781,0.669,0.515,0.844,0.745,0.995,1
Seurat v4 WNN,Graph,6781,0.692,0.523,0.849,0.743,0.996,1
uniPort,Embedding,6781,0.601,0.588,0.781,0.759,0.982,0.997
cobolt,Embedding,6781,0.528,0.45,0.734,0.682,0.98,0.998
DCCA,Embedding,6781,0.537,0.463,0.772,0.709,0.993,0.999
MOFA+,Embedding,6781,0.513,0.415,0.752,0.697,0.985,0.998
Multigrate,Embedding,6781,0.561,0.441,0.791,0.706,0.99,1
MultiVI,Embedding,6781,0.491,0.396,0.76,0.686,0.989,1
scAI,Embedding,6781,0.668,0.53,0.839,0.752,0.996,1
scDEC,Embedding,6781,0.326,0.38,0.482,0.489,0.89,0.863
scMDC,Embedding,6781,0.782,0.646,0.85,0.779,0.995,1
scMVAE,Embedding,6781,0.598,0.53,0.777,0.724,0.976,0.985
scMVP,Embedding,6781,0.681,0.553,0.838,0.757,0.995,0.999
Seurat v4 WNN,Graph,6781,0.692,0.523,0.849,0.743,0.996,1
uniPort,Embedding,6781,0.601,0.588,0.781,0.759,0.982,0.997
cobolt,Embedding,6781,0.481,0.429,0.71,0.67,0.979,0.998
DCCA,Embedding,6781,0.561,0.44,0.773,0.695,0.993,0.998
MOFA+,Embedding,6781,0.513,0.415,0.752,0.697,0.985,0.998
Multigrate,Embedding,6781,0.561,0.441,0.791,0.706,0.99,1
MultiVI,Embedding,6781,0.491,0.396,0.76,0.686,0.989,1
scAI,Embedding,6781,0.668,0.53,0.839,0.752,0.996,1
scDEC,Embedding,6781,0.339,0.436,0.533,0.572,0.917,0.892
scMDC,Embedding,6781,0.669,0.52,0.838,0.747,0.996,1
scMVAE,Embedding,6781,0.549,0.486,0.771,0.721,0.983,0.991
scMVP,Embedding,6781,0.677,0.561,0.83,0.754,0.996,0.999
Seurat v4 WNN,Graph,6781,0.692,0.523,0.849,0.743,0.996,1
uniPort,Embedding,6781,0.601,0.588,0.781,0.759,0.982,0.997
cobolt,Embedding,6781,0.528,0.489,0.761,0.722,0.98,0.999
DCCA,Embedding,6781,0.632,0.52,0.798,0.731,0.992,0.999
MOFA+,Embedding,6781,0.513,0.415,0.752,0.697,0.985,0.998
Multigrate,Embedding,6781,0.561,0.441,0.791,0.706,0.99,1
MultiVI,Embedding,6781,0.491,0.396,0.76,0.686,0.989,1
scAI,Embedding,6781,0.668,0.53,0.839,0.752,0.996,1
scDEC,Embedding,6781,0.36,0.328,0.508,0.48,0.891,0.864
scMDC,Embedding,6781,0.669,0.535,0.837,0.756,0.994,1
scMVAE,Embedding,6781,0.519,0.474,0.756,0.718,0.983,0.991
scMVP,Embedding,6781,0.694,0.549,0.846,0.759,0.996,0.999
Seurat v4 WNN,Graph,6781,0.692,0.523,0.849,0.743,0.996,1
uniPort,Embedding,6781,0.601,0.588,0.781,0.759,0.982,0.997
cobolt,Embedding,6781,0.535,0.463,0.734,0.682,0.978,0.999
DCCA,Embedding,6781,0.627,0.502,0.792,0.716,0.993,0.998
MOFA+,Embedding,6781,0.513,0.415,0.752,0.697,0.985,0.998
Multigrate,Embedding,6781,0.561,0.441,0.791,0.706,0.99,1
MultiVI,Embedding,6781,0.491,0.396,0.76,0.686,0.989,1
scAI,Embedding,6781,0.668,0.53,0.839,0.752,0.996,1
scDEC,Embedding,6781,0.299,0.379,0.49,0.52,0.887,0.852
scMDC,Embedding,6781,0.811,0.658,0.847,0.765,0.994,1
scMVAE,Embedding,6781,0.522,0.477,0.758,0.709,0.982,0.988
scMVP,Embedding,6781,0.672,0.537,0.837,0.746,0.994,0.999
Seurat v4 WNN,Graph,6781,0.692,0.523,0.849,0.743,0.996,1
uniPort,Embedding,6781,0.601,0.588,0.781,0.759,0.982,0.997
